feature,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
F7_beta_spectral_entropy,-0.019460509571743292,0.6348316496103704,[-0.1   0.06],-0.0031664053891787627,0.9384090883996028,[-0.08  0.08],600.0
F7_beta_spectral_flatness,-0.020009564297750856,0.6253092107874798,[-0.1   0.06],-0.0019728044578899307,0.9616029595025941,[-0.08  0.08],600.0
F7_beta_spectral_edge_frequency,,,,,,,600.0
F7_beta_spectral_diff,0.03074360880877059,0.4530079480990318,[-0.05  0.11],0.02011221936488093,0.6235356664544633,[-0.06  0.1 ],600.0
F7_lowgamma_relative_power,-0.02505762260238607,0.5408196365400526,[-0.11  0.06],-0.023212744814607597,0.5710308250275753,[-0.1   0.06],600.0
F7_lowgamma_spectral_entropy,-0.035146887666209645,0.39092000399695037,[-0.12  0.05],-0.021268540970487505,0.6037103794151009,[-0.1   0.06],600.0
F7_lowgamma_spectral_flatness,-0.03608417592977654,0.37840202232403575,[-0.12  0.04],-0.022539013385773524,0.5822600025207318,[-0.1   0.06],600.0
F7_lowgamma_spectral_edge_frequency,,,,,,,600.0
F7_lowgamma_spectral_diff,-0.05726743000042371,0.16192162250362704,[-0.14  0.02],-0.04832286515648938,0.23803756096540385,[-0.13  0.03],600.0
F8_delta_relative_power,-0.0031531179371242996,0.9386670380360622,[-0.08  0.08],0.0015582561673432888,0.9696669915475067,[-0.08  0.08],600.0
F8_delta_spectral_entropy,-0.023211765016155534,0.5710470805353928,[-0.1   0.06],-0.01757720783906055,0.6679468682389955,[-0.1   0.06],600.0
F8_delta_spectral_flatness,-0.02244320734890234,0.5838651318029547,[-0.1   0.06],-0.017432449522184583,0.6705201936301568,[-0.1   0.06],600.0
F8_delta_spectral_edge_frequency,,,,,,,600.0
F8_delta_spectral_diff,-0.010167342101966985,0.8040425122481539,[-0.09  0.07],-0.003829999219108196,0.9255354827237309,[-0.08  0.08],600.0
F8_theta_relative_power,-0.049271939644450084,0.22893464290094825,[-0.13  0.03],-0.05981674787779704,0.14401298838821502,[-0.14  0.02],600.0
F8_theta_spectral_entropy,-0.032215922676256885,0.43165356797204335,[-0.11  0.05],-0.02393014200022337,0.5591881157621812,[-0.1   0.06],600.0
F8_theta_spectral_flatness,-0.03171399436893801,0.4388673375244435,[-0.11  0.05],-0.02207267913347018,0.590092204879514,[-0.1   0.06],600.0
F8_theta_spectral_edge_frequency,,,,,,,600.0
F8_theta_spectral_diff,0.08116592044281151,0.04726075245556562,[0.   0.16],0.07308305408341925,0.0741275767997609,[-0.01  0.15],600.0
F8_lowalpha_relative_power,-0.04445936885786993,0.277712166165656,[-0.12  0.04],-0.03442813780295775,0.40068716231917145,[-0.11  0.05],600.0
F8_lowalpha_spectral_entropy,-0.0531361181361294,0.19442800407283084,[-0.13  0.03],-0.0245985734753862,0.5482618675926239,[-0.1   0.06],600.0
F8_lowalpha_spectral_flatness,-0.05202115511047302,0.20396857337740742,[-0.13  0.03],-0.022686098155235025,0.5797997603483369,[-0.1   0.06],600.0
F8_lowalpha_spectral_edge_frequency,,,,,,,600.0
F8_lowalpha_spectral_diff,-0.0596244974691872,0.14530835578477275,[-0.14  0.02],-0.08120044867248127,0.04716642548157412,[-0.16 -0.  ],600.0
F8_highalpha_relative_power,0.06578451949257949,0.10803848484661548,[-0.01  0.15],0.06978556153289901,0.08818559436214621,[-0.01  0.15],600.0
F8_highalpha_spectral_entropy,-0.009188455192233725,0.8225787779565977,[-0.09  0.07],0.04625945430422312,0.2587003357795564,[-0.03  0.13],600.0
F8_highalpha_spectral_flatness,-0.009675733171690416,0.8133386121587751,[-0.09  0.07],0.047200186569785973,0.24913105210721265,[-0.03  0.13],600.0
F8_highalpha_spectral_edge_frequency,,,,,,,600.0
F8_highalpha_spectral_diff,0.015453885506990913,0.7060682828823088,[-0.06  0.1 ],0.035424179922534216,0.38719074367287376,[-0.04  0.12],600.0
F8_beta_relative_power,-0.03173219100353416,0.43860461239090476,[-0.11  0.05],-0.01181713677714217,0.7730542241935194,[-0.09  0.07],600.0
F8_beta_spectral_entropy,-0.0007975138510707683,0.984472844226046,[-0.08  0.08],0.01248613013373413,0.7605875458988571,[-0.07  0.09],600.0
F8_beta_spectral_flatness,-0.001749388771973205,0.9659485358232799,[-0.08  0.08],0.011094205576842934,0.7865919160622101,[-0.07  0.09],600.0
F8_beta_spectral_edge_frequency,,,,,,,600.0
F8_beta_spectral_diff,0.01994446012691067,0.6264351213024677,[-0.06  0.1 ],0.015044818877399118,0.713501475744981,[-0.07  0.1 ],600.0
F8_lowgamma_relative_power,-0.020084876707666847,0.6240078461615992,[-0.1   0.06],-0.024915161408804464,0.5431238575833366,[-0.1   0.06],600.0
F8_lowgamma_spectral_entropy,0.048525248235140345,0.2360753594832011,[-0.03  0.13],0.06339344405466736,0.12149233912688363,[-0.02  0.14],600.0
F8_lowgamma_spectral_flatness,0.04873078758335183,0.2340942653513744,[-0.03  0.13],0.06489050380439772,0.11292414261934412,[-0.02  0.14],600.0
F8_lowgamma_spectral_edge_frequency,,,,,,,600.0
F8_lowgamma_spectral_diff,-0.019659510054490466,0.6313732408918225,[-0.1   0.06],-0.028261125460299383,0.49032598223973933,[-0.11  0.05],600.0
Fp1_delta_relative_power,0.05130564188532296,0.21026748728315953,[-0.03  0.13],0.06485899263405506,0.11309946388861422,[-0.02  0.14],600.0
Fp1_delta_spectral_entropy,0.059561244486931175,0.1457364894529226,[-0.02  0.14],0.08814566315841263,0.03114588696999004,[0.01 0.17],600.0
Fp1_delta_spectral_flatness,0.06004550788083151,0.14248315015378035,[-0.02  0.14],0.08784899302214276,0.03171996157818918,[0.01 0.17],600.0
