feature,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
Fz_lowgamma_relative_power,0.08964225325201337,0.34072979929585856,[-0.1   0.27],0.09824928405302076,0.29619581157510383,[-0.09  0.28],117.0
Fz_lowgamma_spectral_entropy,-0.2714455138931323,0.0033415708464777844,[-0.43 -0.09],-0.016898731486466836,0.8577399861962818,[-0.2   0.17],117.0
Fz_lowgamma_spectral_flatness,-0.27742531222578465,0.002684702232010929,[-0.44 -0.1 ],-0.011276676089946843,0.9047908237931928,[-0.19  0.17],117.0
Fz_lowgamma_spectral_edge_frequency,,,,,,,117.0
Fz_lowgamma_spectral_diff,0.10832968373263246,0.24915237991528788,[-0.08  0.29],0.07502941859568303,0.4254885858761509,[-0.11  0.25],117.0
O1_delta_relative_power,-0.1465300077267353,0.11813720638398591,[-0.32  0.04],-0.10622785242683876,0.25850883109012524,[-0.28  0.08],117.0
O1_delta_spectral_entropy,0.00042684941772699354,0.9963876344098812,[-0.18  0.18],0.038570774185913495,0.6823494148338181,[-0.15  0.22],117.0
O1_delta_spectral_flatness,-0.0007656110478581727,0.9935207915918596,[-0.18  0.18],0.036336080430522125,0.699843573119258,[-0.15  0.22],117.0
O1_delta_spectral_edge_frequency,,,,,,,117.0
O1_delta_spectral_diff,-0.04115424496333081,0.6623333005096572,[-0.22  0.14],0.03596154712970669,0.7027913278281095,[-0.15  0.22],117.0
O1_theta_relative_power,-0.008017635717379196,0.9322282736126328,[-0.19  0.18],0.07825318004867188,0.405815337205361,[-0.11  0.26],117.0
O1_theta_spectral_entropy,0.26608856351902255,0.0040490122221241666,[0.09 0.43],0.24890362922806863,0.007309858933197816,[0.07 0.41],117.0
O1_theta_spectral_flatness,0.26562068431939045,0.0041167550171942735,[0.09 0.43],0.2494158890480823,0.007186207565659718,[0.07 0.41],117.0
O1_theta_spectral_edge_frequency,,,,,,,117.0
O1_theta_spectral_diff,0.013754436120124025,0.884003921982865,[-0.17  0.2 ],0.05621817019931102,0.5506683073738357,[-0.13  0.24],117.0
O1_lowalpha_relative_power,-0.13794019328073145,0.14152884649522615,[-0.31  0.05],-0.13184539874102083,0.16014670163063205,[-0.31  0.05],117.0
O1_lowalpha_spectral_entropy,0.014234335384263743,0.8799865026140914,[-0.17  0.2 ],0.021164924383439948,0.822357221430652,[-0.16  0.2 ],117.0
