feature,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
Fz_lowalpha_spectral_entropy,0.07805264890747073,0.4913346257237762,[-0.14  0.29],-0.006469769567717941,0.9545792786582247,[-0.23  0.21],82.0
Fz_lowalpha_spectral_flatness,0.07811408511615596,0.4909925740742582,[-0.14  0.29],-0.003527879517331895,0.9752234567651167,[-0.22  0.22],82.0
Fz_lowalpha_spectral_edge_frequency,,,,,,,82.0
Fz_lowalpha_spectral_diff,-0.001629901239050275,0.9885516708434434,[-0.22  0.22],0.08076275516047644,0.4763659063326494,[-0.14  0.3 ],82.0
Fz_highalpha_relative_power,0.11188047706807633,0.32312993126886247,[-0.11  0.32],0.1184401579919954,0.2953871534572096,[-0.1   0.33],82.0
Fz_highalpha_spectral_entropy,0.04428668105058755,0.696485247972259,[-0.18  0.26],0.07702655710192524,0.49706598643905964,[-0.15  0.29],82.0
Fz_highalpha_spectral_flatness,0.04641941114847094,0.6826321895464915,[-0.18  0.26],0.07617701632816463,0.501837496997632,[-0.15  0.29],82.0
Fz_highalpha_spectral_edge_frequency,,,,,,,82.0
Fz_highalpha_spectral_diff,-0.0124155821351091,0.9129607438096076,[-0.23  0.21],-0.05312797975828457,0.6397537886851046,[-0.27  0.17],82.0
Fz_beta_relative_power,0.03954234328324283,0.7276544241685501,[-0.18  0.26],0.06228490128251641,0.5831024787841191,[-0.16  0.28],82.0
Fz_beta_spectral_entropy,0.14099005737018414,0.21223318126265503,[-0.08  0.35],0.10226885728062936,0.3666883355659609,[-0.12  0.31],82.0
Fz_beta_spectral_flatness,0.140173817323605,0.2149184671443881,[-0.08  0.35],0.10259756268295575,0.365141918513865,[-0.12  0.32],82.0
Fz_beta_spectral_edge_frequency,,,,,,,82.0
Fz_beta_spectral_diff,0.24370894936509693,0.029372346909187094,[0.03 0.44],0.21351574479873775,0.05721316113398853,[-0.01  0.41],82.0
Fz_lowgamma_relative_power,-0.09560572753644903,0.39889297045517214,[-0.31  0.13],-0.11667957773595801,0.30267469874884484,[-0.33  0.11],82.0
Fz_lowgamma_spectral_entropy,-0.15540628621869082,0.16866733859570643,[-0.36  0.07],-0.12814046923813233,0.25731417338584117,[-0.34  0.09],82.0
Fz_lowgamma_spectral_flatness,-0.15595275758533328,0.16715634251314973,[-0.36  0.07],-0.12842162755673134,0.2562629135220352,[-0.34  0.09],82.0
Fz_lowgamma_spectral_edge_frequency,,,,,,,82.0
Fz_lowgamma_spectral_diff,-0.06198309007598143,0.5849326622685309,[-0.28  0.16],-0.07960059415409394,0.4827546806252968,[-0.29  0.14],82.0
O1_delta_relative_power,0.11932579497010387,0.2917651817459172,[-0.1   0.33],0.06860344726518412,0.5454025072833057,[-0.15  0.28],82.0
O1_delta_spectral_entropy,0.03626166673162805,0.749472713675009,[-0.18  0.25],0.06410645274354768,0.5721125973232635,[-0.16  0.28],82.0
O1_delta_spectral_flatness,0.03370194181571897,0.7666349059367363,[-0.19  0.25],0.05882293520492903,0.6042510711298292,[-0.16  0.27],82.0
O1_delta_spectral_edge_frequency,,,,,,,82.0
O1_delta_spectral_diff,0.04081025495175663,0.7192786958616908,[-0.18  0.26],0.07130491989923113,0.5296542852987434,[-0.15  0.29],82.0
O1_theta_relative_power,0.01989921094814648,0.8609224303743183,[-0.2   0.24],0.08224655420885892,0.4682754618411391,[-0.14  0.3 ],82.0
O1_theta_spectral_entropy,-0.27255694592461666,0.014446856653787681,[-0.46 -0.06],-0.17489689464706382,0.1207360684939014,[-0.38  0.05],82.0
O1_theta_spectral_flatness,-0.2720172396182428,0.014649845711539338,[-0.46 -0.06],-0.17456915407455223,0.12144467368393483,[-0.38  0.05],82.0
O1_theta_spectral_edge_frequency,,,,,,,82.0
O1_theta_spectral_diff,-0.24181842421193306,0.030692901577943077,[-0.44 -0.02],-0.2602831270182429,0.019713945041248,[-0.45 -0.04],82.0
O1_lowalpha_relative_power,0.1316979114315191,0.24422828804156257,[-0.09  0.34],0.1492973075866503,0.1862478532078003,[-0.07  0.36],82.0
O1_lowalpha_spectral_entropy,0.08051894342023222,0.4777024408280689,[-0.14  0.3 ],0.07876137138485649,0.48739638618142456,[-0.14  0.29],82.0
O1_lowalpha_spectral_flatness,0.0803316218001202,0.4787306707071384,[-0.14  0.29],0.07747097040032433,0.49457938232096976,[-0.14  0.29],82.0
O1_lowalpha_spectral_edge_frequency,,,,,,,82.0
O1_lowalpha_spectral_diff,-0.04234545642013136,0.7091814268669712,[-0.26  0.18],-0.009779657895540878,0.9313890862753709,[-0.23  0.21],82.0
O1_highalpha_relative_power,0.04208877085341678,0.7108662610914871,[-0.18  0.26],0.09220194897080397,0.4159688011490241,[-0.13  0.31],82.0
O1_highalpha_spectral_entropy,-0.0658957692084616,0.5614121121089743,[-0.28  0.16],0.08497808888232894,0.45357882781785885,[-0.14  0.3 ],82.0
O1_highalpha_spectral_flatness,-0.06806987612126285,0.5485396823813415,[-0.28  0.15],0.08130880972396819,0.47337983109473236,[-0.14  0.3 ],82.0
O1_highalpha_spectral_edge_frequency,,,,,,,82.0
O1_highalpha_spectral_diff,0.14767120358569266,0.19114361085089307,[-0.07  0.36],0.10471245673758948,0.3552880414720585,[-0.12  0.32],82.0
O1_beta_relative_power,0.19400041915496172,0.08465258976336094,[-0.03  0.4 ],0.20826189799179684,0.06376530791894332,[-0.01  0.41],82.0
O1_beta_spectral_entropy,-0.1488887629851028,0.1874692347623865,[-0.36  0.07],0.10995369928941602,0.3315853525142507,[-0.11  0.32],82.0
O1_beta_spectral_flatness,-0.15853460703696715,0.1601522104412173,[-0.37  0.06],0.11005201534565083,0.3311505392093479,[-0.11  0.32],82.0
O1_beta_spectral_edge_frequency,,,,,,,82.0
O1_beta_spectral_diff,0.3708965845795458,0.000707006445986796,[0.16 0.55],0.36435468913579816,0.0008918456472299625,[0.16 0.54],82.0
O1_lowgamma_relative_power,-0.12991110719097654,0.25074252496646476,[-0.34  0.09],-0.16233058577251036,0.15025284907843428,[-0.37  0.06],82.0
O1_lowgamma_spectral_entropy,-0.3168308115903638,0.004191446084377647,[-0.5 -0.1],-0.24475513766747475,0.02866240021066051,[-0.44 -0.03],82.0
O1_lowgamma_spectral_flatness,-0.3152952587731769,0.004389148215959358,[-0.5 -0.1],-0.24642015558101277,0.027562415283269966,[-0.44 -0.03],82.0
O1_lowgamma_spectral_edge_frequency,,,,,,,82.0
