feature,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
T4_delta_spectral_flatness,0.16838345361905302,0.1354248430356593,[-0.05  0.37],0.026014549943305407,0.8188239186707851,[-0.19  0.24],82.0
T4_delta_spectral_edge_frequency,,,,,,,82.0
T4_delta_spectral_diff,0.0031445498877237126,0.97791489199025,[-0.22  0.22],-0.01713736411213545,0.8800704751602424,[-0.24  0.2 ],82.0
T4_theta_relative_power,0.27711626694622954,0.012826962036026205,[0.06 0.47],0.2616140263082157,0.019072898711299437,[0.04 0.46],82.0
T4_theta_spectral_entropy,0.18878528837407957,0.09352514173728335,[-0.03  0.39],0.1518181975851281,0.1788388057487587,[-0.07  0.36],82.0
T4_theta_spectral_flatness,0.18833790802342212,0.09431911958239944,[-0.03  0.39],0.15606115959225358,0.1668577996381367,[-0.07  0.36],82.0
T4_theta_spectral_edge_frequency,,,,,,,82.0
T4_theta_spectral_diff,-0.13764418918147026,0.2233927516500789,[-0.35  0.08],-0.07474097794926003,0.5099568443063287,[-0.29  0.15],82.0
T4_lowalpha_relative_power,0.27232483536237495,0.014533855784866868,[0.06 0.46],0.24894753548041731,0.02596105311104563,[0.03 0.44],82.0
T4_lowalpha_spectral_entropy,0.08321381816496122,0.4630418805738996,[-0.14  0.3 ],-0.07671673394205046,0.4988033810938274,[-0.29  0.15],82.0
T4_lowalpha_spectral_flatness,0.0828793192309578,0.46484812992303826,[-0.14  0.3 ],-0.08163832924686897,0.4715827648953036,[-0.3   0.14],82.0
T4_lowalpha_spectral_edge_frequency,,,,,,,82.0
T4_lowalpha_spectral_diff,0.11345110460781359,0.31634035009291195,[-0.11  0.33],0.08405256002418464,0.45852970529861203,[-0.14  0.3 ],82.0
T4_highalpha_relative_power,0.1724914053172942,0.12601138729590766,[-0.05  0.38],0.16878342046894534,0.13448555489981548,[-0.05  0.37],82.0
T4_highalpha_spectral_entropy,0.01984718198270656,0.8612824461202151,[-0.2   0.24],-0.07500995839767667,0.5084309188033851,[-0.29  0.15],82.0
T4_highalpha_spectral_flatness,0.02986614811692086,0.7925618638620742,[-0.19  0.25],-0.06539936133426476,0.5643712007193631,[-0.28  0.16],82.0
T4_highalpha_spectral_edge_frequency,,,,,,,82.0
T4_highalpha_spectral_diff,-0.1015345154865333,0.3701575344495375,[-0.31  0.12],-0.09750127496915463,0.3895656983682173,[-0.31  0.12],82.0
T4_beta_relative_power,-0.1275403567402398,0.2595678180820091,[-0.34  0.09],-0.15918494180074746,0.15842276845807116,[-0.37  0.06],82.0
T4_beta_spectral_entropy,0.01513246923350986,0.8940143889429066,[-0.21  0.23],0.02224364594607072,0.844730553755275,[-0.2   0.24],82.0
T4_beta_spectral_flatness,0.019003766353107,0.8671223740366081,[-0.2   0.24],0.028590038488710466,0.8012390102175064,[-0.19  0.25],82.0
T4_beta_spectral_edge_frequency,,,,,,,82.0
T4_beta_spectral_diff,0.17559215713807488,0.11924335652291122,[-0.05  0.38],0.19540592432179066,0.08237936966225805,[-0.03  0.4 ],82.0
T4_lowgamma_relative_power,-0.30146144093615956,0.006578815275326602,[-0.49 -0.09],-0.3203640794285519,0.00376631767245386,[-0.5  -0.11],82.0
T4_lowgamma_spectral_entropy,-0.048232939635510265,0.6709341986881912,[-0.27  0.17],-0.0636550424230419,0.574827057922561,[-0.28  0.16],82.0
T4_lowgamma_spectral_flatness,-0.049067179547702115,0.6655789568380517,[-0.27  0.17],-0.052881555208785465,0.6413092108371448,[-0.27  0.17],82.0
T4_lowgamma_spectral_edge_frequency,,,,,,,82.0
T4_lowgamma_spectral_diff,-0.025207180528377202,0.8243553637686589,[-0.24  0.2 ],-0.012813220388443885,0.9101845030509527,[-0.23  0.21],82.0
T5_delta_relative_power,0.3245148788644859,0.0033162934199465577,[0.11 0.51],0.33764585183885953,0.0021916353836418405,[0.13 0.52],82.0
