,C3_delta_relative_power,C3_highalpha_spectral_diff,C4_highalpha_relative_power,Cz_delta_relative_power,Cz_highalpha_relative_power,Cz_highalpha_spectral_flatness,F7_delta_spectral_entropy,Fpz_theta_spectral_flatness,Fz_delta_relative_power,Fz_theta_spectral_diff,O2_highalpha_spectral_flatness,P4_theta_relative_power,Pz_theta_relative_power,T3_delta_spectral_diff,T3_lowalpha_spectral_diff,T4_lowalpha_spectral_entropy,T5_delta_spectral_diff,T6_lowalpha_spectral_flatness,Hjorth Mobility:F4,Hjorth Mobility:T3,Hjorth Mobility:T4,Hjorth Complexity:Fz,Hjorth Activity:C3,Hjorth Activity:Fp2,Hjorth Activity:T4,PLI delta TEMPORAL_L/OCCIPITAL_L,PLI theta FRONTAL_L/OCCIPITAL_L,PLI theta TEMPORAL_R/OCCIPITAL_L,PLI lowalpha FRONTAL_L/OCCIPITAL_L,PLI highalpha PARIETAL_R/OCCIPITAL_L
min,0.0158760504668776,-17.633040852016872,0.0218951682758953,0.0155634446686046,0.0215546665469644,0.4704588810996254,1.98792941570282,0.4061043482077749,0.0152811677255432,-10.52522062433177,0.4624245978634932,0.0286516728439841,0.0275718963452577,-5.851985931396484,-10.014107704162598,2.2822491923968,-8.366115165479256,0.4662415912995736,0.23776719,0.26102978,0.26865932,1.1922289,0.005624165,0.010040724,0.00922962,0.0891503491931145,0.1107551416522483,0.128104128342246,0.1450474198117436,0.154443983688696
max,0.0256759107473693,6.953194398146409,0.0362771388415589,0.0233049551802779,0.0354841492736782,0.4897041916847229,1.997868478298188,0.4214936672751583,0.0232133139210129,9.162935829162596,0.4897978752851486,0.0449607211577441,0.0437790348795412,4.973999871148004,12.099174465451922,2.320497751235962,4.524108039008246,0.489325741926829,0.6691402,0.5962002,0.65901405,2.990297,0.02885941,0.03727392,0.029726828,1.0,1.0,1.0,1.0,1.0
mean,0.019853168103865983,-5.617234062712988,0.028712120746346475,0.019163615186167347,0.029297448336729044,0.48658581226157727,1.9946847396175476,0.4202122719118305,0.018989746587157765,-1.5018344916358353,0.48457706461162553,0.03729345225582306,0.0367870771914726,-1.8670851310563408,1.0743050183766245,2.3156353528454647,-2.449585009836044,0.486415272141694,0.40064697964933493,0.40895619512696485,0.40955580733978236,1.782099884885127,0.017396337065900845,0.018385910583434098,0.01697041983857316,0.29853483832641614,0.32788702538238923,0.3484013568500958,0.40036961426724,0.39463967992924887
std,0.001397167597442302,3.855740083235308,0.0023291526364778025,0.0013015331774121732,0.0022010723614216267,0.0029628618186126896,0.0011784702721066784,0.000970375221805569,0.0013024929531518972,2.362950123839751,0.005268338521696176,0.002872997304265568,0.002900888142981828,1.2736168278323883,3.468329260775717,0.0032446026312783535,1.4087334948539498,0.002471099101989662,0.058151370702024814,0.054608833875333676,0.055306457606736026,0.27401053937686576,0.0029093671210813346,0.0027029338108085577,0.0029443452462764993,0.10399053202703382,0.10315991522453988,0.1120649823819003,0.15093905732903729,0.13794341679226044
