,C3_delta_relative_power,C3_highalpha_spectral_diff,C4_highalpha_relative_power,Cz_delta_relative_power,Cz_highalpha_relative_power,Cz_highalpha_spectral_flatness,F7_delta_spectral_entropy,Fpz_theta_spectral_flatness,Fz_delta_relative_power,Fz_theta_spectral_diff,O2_highalpha_spectral_flatness,P4_theta_relative_power,Pz_theta_relative_power,T3_delta_spectral_diff,T3_lowalpha_spectral_diff,T4_lowalpha_spectral_entropy,T5_delta_spectral_diff,T6_lowalpha_spectral_flatness,Hjorth Mobility:F4,Hjorth Mobility:T3,Hjorth Mobility:T4,Hjorth Complexity:Fz,Hjorth Activity:C3,Hjorth Activity:Fp2,Hjorth Activity:T4,PLI delta TEMPORAL_L/OCCIPITAL_L,PLI theta FRONTAL_L/OCCIPITAL_L,PLI theta TEMPORAL_R/OCCIPITAL_L,PLI lowalpha FRONTAL_L/OCCIPITAL_L,PLI highalpha PARIETAL_R/OCCIPITAL_L
mean,0.5444807635526857,0.5003584725865834,0.45459675618614503,0.6339584689720724,0.5233521273464394,0.8198021108481719,0.7061511291251629,0.931170301432576,0.6416355143897945,0.5466753280472745,0.7907321925648014,0.6372139581462442,0.6772441040580759,0.3471100385841781,0.4857687898287818,0.8769265159036219,0.4592219556210511,0.862472726148265,0.47139299193412554,0.5474046430399411,0.4539588992028142,0.2114620473855834,0.46514086871550725,0.28653750263422023,0.3411207574049626,0.24677454604979795,0.25807202299012855,0.274340534662926,0.2864827183847228,0.2646595369625408
std,0.11043113444657697,0.1661695315161511,0.19802446589758482,0.12194664442973391,0.18153821475672333,0.13503992757642536,0.10855082879016617,0.04606004211076689,0.11993241025063256,0.13523320536925826,0.1996604562141826,0.1598398665943537,0.15040546480089223,0.10259115368875492,0.1357202044929676,0.07214834805785131,0.09152549868231856,0.10020704585992292,0.11084796744071633,0.1446598572835402,0.13660939409863251,0.10891300782531885,0.12591858626769337,0.09082718246984968,0.16518668237242376,0.11794674700394848,0.11526136379221129,0.14281509767052136,0.1498754377834235,0.14203987596309814
